SUPPCODE,DESC,PRICE1,LSTCST
"ZIP28649","ZIPPO KEEP YOUR HANDS OFF","99.99","29.81"
"WILD 529-0","STUDDED CROP WHIP","71.99","25.00"
"FPBE092A00","FLAMING ARMOUR 6' VIBRATOR","84.99","29.00"
"SE-2956","NICK HAWK ANAL TRAINER PLUG","25.99","9.00"
"           10597","MJ CS LEMON SOUR GOSE STYLE","39.99","21.89"
"           30105","SS DISTILLERS CARAMEL","6.99","2.20"
"           30123","SS OAK CASK FLAVOUR 50ML","11.99","4.20"
"MH421","RAW TIN 1 1/4","10.00","4.00"
"MH420","RAW TIN KING SIZE","12.50","5.00"
"           55595","SEDIMENT REDUCER","2.99","0.58"
"H130","BRUSH BOTTLE FANTAIL SML TIP","8.90","2.00"
"JOYETECH-AIO","JOYETECH EGO AIO ASST COLOURS","39.99","21.02"
"JOYETECH-CUBIS-S","JOYETECH EGO AIO ASST COIL 5PK","30.00","10.21"
"SC141","SCALES AWS-100 100GM X 0.01GM","49.99","17.50"
"XO-35","SILICONE CLASSIC ASST.","49.99","16.00"
"PD1412-11","NEON LIL' GEMS VIBE","41.99","14.50"
"F06C087A00","BEAUTIFUL BEHIND BUTT PLUG","21.99","7.50"
"RIZC","RIZLA ROLLING MACHINE METAL","9.50","3.11"
"PTALF-MINT","AL FAKHER ASSORTED SACHET 50GM","17.50","4.00"
"","JOYETECH EGO AIO ASST COIL","7.00","3.00"
"           55455","SS AIR STILL INFUSION BASKET","25.99","10.50"
"           40244","MJ LIQ MALT EXTRACT AMBER 1.5K","21.99","13.01"
"           45358","CORKER LARIX DELUXE TWIN LEVER","74.99","31.36"
"DOGDONL","DOGGY DONE IT!","3.00","1.00"
"","GRINDER 4PC SKULL METAL","25.00","10.00"
"           52051","DOGGIE DOO DOO","2.50","1.00"
"PE473","SCALES WEIGHT CALIBRATION 200G","15.00","2.80"
"           30124","SS SWEET VANILLA FLAVOUR 50ML","11.99","4.20"
"           80210","GLASS TUBE SMOK PRINCE BABY","12.50","2.85"
"","SNAPPING MATCH BOX","1.00","0.25"
"","BARF SPRAY","2.50","0.25"
"","CAL ALLOY RING XL","25.99","9.00"
"E432","PASSIONFLOWER HERB 25G","25.00","7.50"
"          615316","CANDLE GLASS PLATE","2.50","1.20"
"           80170","SMOK V12 PRINCE MESH COILS 3PK","35.00","13.25"
"","SMOK V12 PRINCE MESH COIL SNGL","12.50","4.30"
"","FRIDGE MAGNETS ASST $2.00","2.00","1.50"
"STEM KITS","STEM FUNNEL ASSORTED $25.00","25.00","3.04"
"","VASE/WATERPIPE $260","260.00","54.00"
"INNOKIN-ISUB-COI","ISUB V COIL 0.5/2.0 5PK","25.00","7.97"
"","ISUB V COIL 0.5/2.0 SNGL","7.50","2.00"
"           99746","DICE LOVE","9.99","2.00"
"KEY-RING","KEYRING RING FOR BELL","14.99","1.20"
"TB-BELL","RING FOR TABLE BELL","29.99","10.50"
"PD2197-15","FETISH FIRST TIMER STRAP-ON","89.99","27.00"
"","HUMIDIFIER RECTANGLE BAR","20.00","6.25"
"H894","TRIPLE TYKES SPCL EXPORT ALE","59.99","34.50"
"SP098","GLASS 1 1/4 PAPERS","3.50","1.05"
"MH026","WOODEN ROLL BOX LRG T3","39.99","13.04"
"MH023","WOODEN ROLL BOX MED T2","34.99","15.00"
"SP337","SMOKING BROWN FILTER TIPS","3.00","1.10"
"           60619","SMOKING KS BROWN + TIPS","5.50","1.61"
"MP910","LIMPURO BIO CLEANER 250ML","29.99","11.50"
"","HOODLUM PLUS 9.5''","114.99","40.00"
"          110014","PUMPWORX BEGINNERS PUSSY PUMP","99.99","33.50"
"          161083","ANAL FANT CR BEGINNERS PLUG","54.99","18.83"
"PD3288","PUMPWORX BEGINNERS VIBE PUMP","107.99","33.50"
"2P454","CRAZY PERFORMER 9''","79.99","27.00"
"BG-D07","PONG SHOT GLASS","14.99","5.00"
"           99189","OPENER SEXY BOTTLE","14.99","5.50"
"FPBF329","SILICON SNOO 3.5'' MINI VIBE","35.99","12.50"
"          172272","CAL STARTER SULTRY SENS KIT","51.99","17.85"
"FPBG024","INFINITY RECHARGEABLE VIBE","74.99","30.00"
"BG-D45","DRINK TILL YOU DROP","36.99","12.59"
"","ORAL SEX GUIDE","4.99","1.00"
"","CAL MY MINI MIRACLE","29.99","9.83"
"BT-W25","MAGIC MASCARA GLOW VIBE","29.99","12.00"
"PD1027-11","LIL MINI VIBE","12.99","4.50"
"BG-D29","DICE COCKTAIL/BAR","9.99","2.65"
"PD2119-23","NIPPLE CLAMPS & COCKRING SET","34.99","12.15"
"398A","BIGCITY POLICE CUFFS","19.99","8.00"
"SEX001","THE SEX GAME","24.99","8.70"
"           61271","ROULETTE DRINKING YELLOW BOX","24.99","10.00"
"","ASPIRE ATLANTIS COILS 5PK","30.00","19.00"
"EC042","VAPOR STORM ECII .3-.5OHM 5PK","25.00","12.51"
"","VAPOR STORM ECII .3-.5OHM SNGL","7.50","2.50"
"ASHTRAY-01","ASHTRAY METAL WITH LID","14.99","3.75"
"EC047","KANGER DC VOCC-T 1.5OHM 5PACK","30.00","7.50"
"","KANGER DC VOCC-T 1.5OHM SNGL","7.00","2.40"
"EC044","GLASS TUBE KANGER SUBTANK MINI","9.50","3.00"
"EC045","GLASS TUBE KANGER TOPTANK MINI","9.50","3.00"
"EC052","KANGER TOPTANK EVOD TANK","14.99","8.51"
"HIP5SET","5OZ SATIN HIPFLASK & VAPORISER","74.99","15.00"
"HIP7SET","7OZ FLASK SET BLACK VINYL","49.99","20.00"
"HIP8SETB","8OZ HIP FLASK BLACK/SILVER SET","39.99","20.00"
"HIP8SET","8OZ HIP FLASK SATIN SET W POUR","39.99","20.00"
"HIP9SETCH","9OZ HIP FLASK POLISH CHECK SET","44.99","22.00"
"HIP9SET","9OZ HIP FLASK SATIN SET & 4CUP","44.99","22.00"
"ASH3425","ASHTRAY FLAT METAL ASSORTED","5.00","0.87"
"ZIP236","ZIPPO BLACK CRACKLE","84.99","35.24"
"ZIP260","ZIPPO VINTAGE POLISHED CHROME","109.99","43.46"
"ZIP28297","ZIPPO SPIRAL TIME TUNNEL","89.99","34.86"
"ZIP24951","ZIPPO TRIBAL TATTOO EBONY","129.99","45.87"
"ZIP28037","ZIPPO GAMBLING FOUR ACES","94.99","37.15"
"ZIP28084","ZIPPO HARLEY DAVIDSON","94.99","37.15"
"          650799","CARDS WITH DICE","7.50","1.32"
"          931758","JANDAL WINE CHARMS","9.99","6.95"
"          650759","HIP FLASK 3PCE B/L/D SET","39.99","14.00"
"          650812","TIN CIGARETTE ASST COLOURS","10.00","2.36"
"          650751","GRINDER 3PC LEAF DESIGN","35.00","14.03"
"           35114","SS TS ORANGE BRANDY 50ML","12.99","7.49"
"           35130","SS TS APRICOT BRANDY","12.99","4.80"
"           30154","SS AMERICAN BOURBON SACHET LRG","17.99","7.92"
"           30156","SS QLD GOLD RUM SACHET LRG","17.99","7.92"
"           30153","SS TS NAVY DARK RUM SACHET LRG","19.99","9.80"
"           30159","SS CALYPSO DARK RUM SACHET LRG","17.99","7.92"
"           30158","SS RESERVE WHISKY SACHET LRG","17.99","7.92"
"           30167","SS IRISH WHISKY SACHET LRG","17.99","7.92"
"           30168","SS CL HIGHLAND SACHET LRG","17.99","7.92"
"           30164","SS TS BLUE JEWEL GIN SACHET LR","19.99","10.58"
"           30163","SS WHITE RUM SACHET LRG","17.99","7.92"
"           30152","SS CL BRANDY SACHET LRG","17.99","7.92"
"           30150","SS CL WHISKY SACHET LRG","17.99","7.92"
"           30161","SS CL VSOP SACHET LRG","17.99","7.92"
"           30165","SS SNGL MALT WHISKY SACHET LRG","17.99","8.72"
"           40245","MJ LIQ MALT EXTRACT DARK 1.5KG","23.99","13.13"
"           51080","SS DISTILLERY KIT CONSUMABLES","59.99","30.94"
"BM139","BM LIME CITRUS ENHANCER","6.00","2.80"
"","VG VAPE PEN","14.99","5.00"
"EC005","SILICON CE4 STAND","2.00","1.51"
"F06D022B00","SIMPLEX 8'","51.99","18.00"
"BL-73012","LUXE G RABBIT","119.99","40.00"
"PD1147-11","G SPOT GLITZ PINK","28.99","10.00"
"CON-1","NOVELTY SINGLE CONDOMS","4.99","0.00"
"F06E030A00","GIRL STYLE 4.5' DONG","41.99","14.00"
"           99801","WILLY LIQUOR POURER","9.99","2.50"
"05-259","C-SPOT COCKRING","15.99","5.50"
"PD2567-11","MINI MALS FINGER FUN","14.99","3.50"
"","LUXY 14' DONG","71.99","25.00"
"","LUXY 14' DOUBLE DONG","59.99","20.00"
"CLIPPER","CLIPPER DECORATED LIGHTER","4.50","1.09"
"","ASPIRE ATLANTIS COILS","7.50","4.50"
"EK110","ASPIRE NAUT 1.6/1.8OHM SNGL","9.99","3.00"
"           35155","SS TS CINNAMON WHISKEY LIQUEUR","12.99","7.21"
"","POINTER BULLETS","28.99","10.00"
"","LITTLE BULLET","22.99","8.00"
"","SILICON ONE TOUCH DILDO","57.99","20.00"
"E406","LIONS TAIL HERB 20GM","30.00","11.00"
"P688","ARIZER AIR HANDHELD VAPE","249.99","169.90"
"          616157","1OZ MINI HIP FLASK","7.50","2.80"
"          157592","ENVY BORAT MANKINI","39.99","14.60"
"          615969","6OZ HIP FLASK ASST.","14.99","4.76"
"          613837","POKER 100PCS CHIPS IN TIN","14.99","6.36"
"AC105","CHARGER USB KANGER EVOD","9.99","3.71"
"EC012","CE4 ADAPTOR","2.50","1.30"
"CHLONG","CIGARETTE HOLDER - LONG","29.99","14.00"
"P701","ARIZER SOLO VAPORIZER","420.00","220.00"
"MO218","GRINDER 3PC DEATH STAR","25.00","7.83"
"MO217","GRINDER 3PC FIRE EXTINGUISHER","20.00","6.00"
"","HEMPSTER HERB 20GM","15.00","9.00"
"PD6020-00","THE MARRIAGE BALL & CHAIN","9.99","1.50"
"JKT7772","LAZY BUTTOCK 6.5'' DONG","29.99","10.00"
"FPBD045B00","GIRL STYLE 8'' FANTASY DREAM","92.99","32.00"
"           59498","NURSES BAG","4.99","1.00"
"BT-R7XS20","RING REMOTE SLIMLINE BULLET","80.99","28.00"
"FPBF263A","OH YEAH 6'","43.99","15.00"
"BT-W23","PLEASURE POINT BULLET","49.99","17.50"
"11-38","ULTIMATE RABBIT","126.99","44.00"
"          197494","CAL POSH VIBRATOR","77.99","27.08"
"PD2638-11","NEON LUV TOUCH 5-FUNCT BULLET","79.99","28.50"
"B001","VIBE THERAPY QUANTUM","34.99","12.00"
"JO-6000-05","ENVY BY JOPEN RECHARGEABLE","158.99","55.00"
"PD7108-00","CANDLE MINI WILLY","4.99","1.50"
"F0109","NAUGHTY WEEKEND KIT","23.99","8.00"
"RP01","TONGUE JOY ROMANCE EDITION","24.99","8.00"
"PD6042-00","BACH PARTY STICKERS","4.99","1.50"
"   9310704909303","MARLBORO ICE BLAST 20","51.50","40.14"
"           20798","STRAWS JUMBO PECKER","6.99","2.10"
"           94298","STRAWS GLOW DICKY SIPPER 10PK","14.99","4.95"
"EC014","DRIP TIP VAPOR STORM","3.00","0.10"
"CAPSULES SIZE0V","EMPTY CAPSULES 100PK","25.00","6.51"
"","RAW WOODEN BOX","44.99","19.90"
"30T","SAMSUNG 18650 3000MAH BATTERY","19.99","10.11"
"           81841","DETOX QCARBO32 948ML","89.99","42.50"
"SP099","GLASS KS PAPERS","4.00","1.17"
"","RAW TIN SLIDING TOP","10.00","5.90"
"MH410","RAW SMOKERS WALLET","44.99","15.00"
"SP460","RAW PRE-ROLLED KS CONES 3PK","6.50","2.25"
"H841","MUNTONS PILSNER BEER KIT","29.99","18.50"
"H838","MUNTONS EXPORT PILSNER KIT","29.99","18.50"
"KKIT","KADABRA VAPORIZER KIT","199.99","69.56"
"KKLXG","GRINDER KADABRA LOADX","49.99","24.66"
"           60699","TRAY - MINI","9.99","1.74"
"           60662","TRAY - SMALL","9.99","1.74"
"","TRAY - LARGE","34.99","15.90"
"MH422","RAW TIN METAL","15.00","4.00"
"","GRINDER 4PC PINK","50.00","14.33"
"","LUXY 11' DONG","57.99","20.00"
"F06B024A00","SWEET TEMPTATION 7'","30.99","10.50"
"FPBH002A","CRAZY PERFORMER 6'","71.99","25.00"
"05-160","DIAMOND COCKRING","14.99","5.00"
"HP-2065","HUMM DINGER RING","12.99","4.35"
"BALL-06","BALLOONS BOOBIE","14.99","6.50"
"PD5144-00","THUNDER PRICKS","2.00","0.50"
"95171","CARDS GO FUCK! GAME","19.99","6.60"
"           99229","WIND UP JOLLY PECKER","9.99","3.00"
"2VS3514","SUPPLE VIBRATING COCKRING","24.99","9.00"
"","FIRST NIGHT 5'' VIBE","71.99","25.00"
"","HUMIDIFIER RECTANGLE LRG","25.00","13.90"
"","HUMIDIFIER ROUND","20.00","11.00"
"           10579","MJ CS YEAST M05 MEAD","9.99","4.97"
"           10582","MJ CS IRISH RED ALE NO.14","56.99","33.33"
"           10585","MJ CS ELDERFLOWER & LIME POUCH","66.99","38.96"
"           40590","MJ HOPS US SUMMIT 100G","15.90","5.50"
"PP","PAX PLUS VAPORIZER","399.99","149.99"
"AERO-100","SCALES AERO-100 100G X 0.01G","59.99","24.50"
"SC120","SCALES AWS AMW 1000G X 0.1G","99.99","33.95"
"ZIP254B","ZIPPO BRASS POLISHED NO LETTER","109.99","43.46"
"MH270","STORAGE BLUNT TUBE","2.50","0.87"
"","LIMPURO BIO CLEANER KING WIPES","1.00","0.20"
"MO187A","GRINDER SHARPSTONE CT BLACK","60.00","22.50"
"MO187B","GRINDER SHARPSTONE CT BLUE","60.00","22.50"
"MO187D","GRINDER SHARPSTONE CT PURPLE","60.00","22.50"
"MO187E","GRINDER SHARPSTONE CT RED","60.00","22.50"
"MO187C","GRINDER SHARPSTONE CT BRONZE","60.00","22.50"
"           21147","PUMPWORX ROOKIE OF YEAR PUMP","53.99","18.50"
"PD2632-11","NEON LUV TOUCH EGG","24.99","8.50"
"           45160","VH MALIC ACID 100G","7.99","3.97"
"ZIP231","ZIPPO MATTE ORANGE","74.99","27.52"
"","ELEAF PICO EC HEAD COIL","7.50","2.00"
"","EXPLODING KITTENS CARD GAME","59.99","0.00"
"           90350","ZIPPO ENGINE TUNED POL CHROME","129.99","55.56"
"           94840","ZIPPO MEADOW","79.99","30.96"
"F0146","BEDROOM RULES FOR HIM","4.99","0.50"
"F0145","BEDROOM RULES FOR HER","4.99","0.50"
"           62160","FART ALARM","9.99","2.00"
"          177551","CAL X-10 BEADS","24.99","8.08"
"SE-1201","CAL MEDIUM ANAL BEADS","20.99","7.00"
"SE-1222","CAL ANAL CLIMAX BEADS LARGE","17.99","6.00"
"","INDUCE DOUBLE ENTRY","57.99","10.00"
"FVH012","POWERFUL X USB BULLET","44.99","15.00"
"           55507","EASY SYPHON 3/8' CLIP","3.00","0.95"
"SP483","RAW CLASSIC SINGLE WIDE","3.00","0.81"
"TARG","TAR GUARD FILTERS 10PK","4.50","1.67"
"BM101","BM CASK OAK CONDITIONER 100GM","7.50","3.75"
"H212","SU TOASTED OAK CHIPS 50GM","5.90","2.90"
"LN980","LION DARK ALE BEERKIT 1.7KG","19.99","9.83"
"LN982","LION DRAUGHT BEERKIT 1.7KG","19.99","9.00"
"HC080","RAW FILTER CELLULOSE 200 BAG","6.50","1.99"
"HP-14","GARTER GNO ASST.","9.99","2.65"
"          650902","WALL CLOCK-ASSORTED","29.99","15.99"
"          650777","MULTI TOOL LIGHTER CASE","14.99","4.76"
"          937109","MAN CAVE METAL W LED","74.99","24.98"
"          946817","BEER METAL W LED","49.99","14.98"
"          650961","BASKETBALL DRINKING GAME","34.99","14.36"
"          650963","PONG BEER 24 CUP","24.99","10.36"
"","POKER TEXAS HOLDER 100PCE SET","24.99","9.99"
"           73136","MM SMALL CHEESE MOULD","3.99","2.08"
"           10586","MJ CS SINGLE HOP IPA SIMCOE","44.99","23.10"
"           55716","THE VINTAGE SHOP 22.7LT CARBOY","89.99","49.90"
"           10581","MJ CS PINK GRAPEFRUIT NO.17","56.99","29.29"
"           55607","PADDLE CARBOUY & FERMENTER LNG","14.99","7.23"
"           55605","PADDLE LONG 50CM","8.99","3.50"
"           10359","PADDLE STAINLESS STEEL","44.99","15.84"
"","ASPIRE NAUTILUS X COILS","7.50","4.50"
"","VAPORESSO COILS","14.99","7.90"
"           11250","FUNNEL PIECES $17.50","17.50","1.90"
"KCHAT","KADABRA LEAF/LIQUID CHAMBER","9.99","3.48"
"TIN CIGAR TUBE","CIGAR CASE SINGLE TUBE","34.99","14.55"
"            4974","SPARKLING OH! PEACH/PASS 500ML","4.00","2.26"
"           51231","SCALES CIG CASE 100G X 0.01G","59.99","17.10"
"           51232","SCALES SMART PHONE 100GX0.01G","69.99","17.00"
"PD1125-11","NEON LUV TOUCH RIBBED SLIMS","29.99","5.00"
"           19004","NEON LUV TOUCH VIBE","49.99","17.50"
"","FINGER FUN","15.99","3.50"
"          125833","FOUR SEASONS STUDDED 6PK","12.50","4.67"
"MCMROLL","SMOKING DELUXE ROLLS 4M","4.50","1.50"
"WG-0462","OPENER BOTTLE S/S W CASE","5.00","5.00"
"C0222","WAITERS FRIEND - MATT SILVER","9.99","1.50"
"AM2828MS","ASHTRAY POCKET SIZE","3.99","1.00"
"PD7119-00","CANDLE BIRTHDAY PENIS PACK","4.99","1.50"
"NV2555","FUCK BOARD GAME","29.99","4.98"
"VCB-03","TRIPLE-X VOUCHERS","19.99","6.50"
"PD6302","ICE TRAY BACH NAKED LADY","12.99","4.50"
"NV2607","SEXY DRINKS STIRRER","3.99","1.25"
"NV2605","THE KAMA SUTRA TOWER GAME","34.99","9.98"
"LCJJ","JUNGLE JUICE BL 15ML","40.00","12.00"
"EC035","GLASS TUBE VAPOR STORM EC II","9.99","1.31"
"           35139","SS TS PINEAPPLE SCHNAPPS 50ML","12.99","5.64"
"           28560","GRINDER CHEWY PORTABLE","75.00","34.58"
"SE-0395-35","BOOTY CALL VIBRO KIT","72.99","18.23"
"            3296","WET STUFF VITAMIN E TUBE 100G","19.99","6.48"
"PD1152-11","NEON LUV TOUCH MINI MITE","24.99","7.50"
"           31515","EZ TEST MDMA PURITY","24.99","9.95"
"","1.5LT AMBER PET BTL+CAP 15PK","39.00","20.50"
"","CBDph 100MG 30ML","124.20","42.61"
"","CBDph 250MG 30ML","154.20","65.30"
"","CBDph 500MG 30ML","154.20","69.57"
"   1806017216590","GRINDER SHARPSTONE 4PC ASST.","55.00","14.70"
"MO220","GRINDER 3PC POKEMON EGG","15.00","6.96"
"          617460","CANDLE SCENTED ASS.","3.50","1.28"
"","STEM FUNNEL ASSORTED $22.50","22.50","8.00"
"           23452","VENTTI MENTHOL SS FILTERS","2.50","1.22"
"ICLEAR16 COIL5","INNOKIN ICLEAR 16 COIL 5PK","25.00","6.50"
"","INNOKIN ICLEAR 16 COIL SNGL","5.00","2.00"
"F06H046A","JELLY CRYSTAL 4.5'' PLUG","34.99","12.00"
"F06H054A","JELLY CRYSTAL 5.5'' PLUG","40.99","14.00"
"F06H048A","JELLY CRYSTAL 6'' PLUG","37.99","12.00"
"F06E120","XTRA 5'' BUTT PLUG","27.99","9.50"
"FKE052A","3 RING ERECTION COMMANDER SET","15.99","5.50"
"F06E069A","HOODLUM 8''","63.99","22.00"
"FNH035A","MINI WHIP","14.99","6.50"
"PD2156","FETISH DO IT DOGGIE HARNESS","51.99","18.00"
"PD2172","FETISH BREATHABLE BALL GAG","34.99","12.45"
"PD4548-23","OPEN-MOUTH GAG & MASK","69.99","23.90"
"FND008A000","NIPPLE TWEEZERS - ASST.","43.99","15.00"
"FNI043","SC NIPPLESS NIPPLE SUCKER","19.99","6.50"
"PD1408","NEON GLASS VIBE","51.99","18.00"
"157976","OURS WEEKENDER KIT","84.99","29.15"
"FMI019A000","TREMBLE STROKER PUMP","66.99","23.00"
"CN-26405","CAROLINE RECHARGABLE VIBRATOR","109.99","35.00"
"FPBD096","VAGINA TICKLER - NEON PARADICE","94.99","32.00"
"SE-2054","MAGIC CRYSTAL LOVERS KIT","59.99","20.00"
"ISUB V GLASS TU","GLASS TUBE ISUB V","12.50","4.50"
"           10587","MJ CS AMERICAN AMBER ALE","50.99","26.00"
"HC169","SMOKING TUBES 100'S","4.99","2.25"
"","GLASS TUBE PICO","9.50","1.50"
"","CHARGER 18650 BATTERY","9.99","5.00"
"           21628","GRINDER 4PC CONCAVE CLR 50MM","30.00","9.35"
"P734","FOCUS VAPE VAPORISER","199.99","86.92"
"P761","FOCUS VAPE PRO S VAPORISER","289.99","117.39"
"B715","SM HIGHLAND WHISKY BARREL OAK","6.00","2.50"
"B713","SM TENNESSEE BOUR BARREL OAK","6.50","2.50"
"B712","SM WINDIES RUM OAK CHIPS 50G","6.00","2.80"
"H311","DIGITAL THERMOMETER","9.99","3.50"
"H224","SU MALT WHISKEY KIT 5L","49.99","27.00"
"UM10","CHARGER NITECORE UM10","29.99","11.00"
"PRISM-COILS-15OH","INNOKIN PRISM T18/T22 1.5 5PK","20.00","7.42"
"","INNOKIN PRISM T18/T22 1.5 SNGL","5.00","1.80"
"MO330","GRINDER SHARPSTONE 2.5 BLK LRG","75.00","29.50"
"MO332","GRINDER SHARPSTONE 2.5 PUR LRG","75.00","29.50"
"FPBD091","G-GIRL 5' VIBE DONG","57.99","20.00"
"F26-365","PLUG N RIDE 5.5'","29.99","10.00"
"            3293","WET STUFF STRAWBERRY TUBE 100G","19.99","6.24"
"           99641","TRUNKS","19.99","6.50"
"HP-2384","SUPER STUD ORGASMIX COCKRING","30.99","10.50"
"99409G","WILLY WACKER","9.99","2.50"
"           99767","MASTURBATION KIT","12.99","4.40"
"           99059","XL SUPER PUMP","92.99","32.00"
"212333","FOUR SEASONS DELAY 12PK","22.99","6.20"
"           67199","INFLATABLE IDEAL WIFE","34.99","12.00"
"PD8701","SUPER CONDOM","12.99","4.50"
"ZIP29412","ZIPPO SATIN 2 DICE","89.99","32.11"
"ZIP28861","ZIPPO APE WITH SHADES","109.99","40.37"
"ZIP29062","ZIPPO OMG","79.99","27.52"
"ZIP29423","ZIPPO YIN YANG TIGER DRAGON","119.99","51.73"
"ZIP28661","ZIPPO CHIMP","109.99","36.69"
"ZIP28038","ZIPPO ROYAL FLUSH","89.99","30.00"
"ZIP24720","ZIPPO SIX PACK","119.99","39.11"
"           10584","MJ CS AMERICAN IPA NO.15","56.99","28.96"
"           10590","MJ TS BELGIAN PALE ALE POUCH","28.99","13.14"
"           10593","MJ TS SAISON POUCH","28.99","13.14"
"           10592","MJ TS ABBEY POUCH","28.99","13.14"
"           10591","MJ TS DUBBEL POUCH","28.99","13.14"
"           10139","BLACK ROCK CRAFTED IPA","31.99","21.51"
"ICLEAR 16","INNOKIN ICLEAR 16 CLEAROMISER","9.99","4.00"
"","GRINDER 4PC FANCY","60.00","6.88"
"P363","GRINDER 2PC DART BOARD","25.00","4.90"
"CANVAS","CANVAS PRINT PICTURES","49.99","20.00"
"PD7911-00","BACH PECKER MUG","14.99","1.50"
"198284","JULIANS ROCK HARD CREAM 44ML","54.99","19.50"
"            3294","WET STUFF STRAWBERRY PUMP 270G","39.99","12.09"
"           39043","WET STUFF VITAMIN E PUMP 550G","51.99","18.00"
"93344","FURRY LOVE CUFFS","31.99","8.87"
"","7 PIPE TUBE","20.00","9.90"
"","RAW TIN POP METAL","15.00","5.90"
"MO333","GRINDER SHARPSTONE 2.5 SILV L","75.00","29.50"
"P736","FOCUS VAPE GLASS MOUTHPIECE","10.00","3.70"
"          650692","INFLATABLE BEER PONG HEAD GAME","22.99","8.76"
"          651003","8OZ ARMY HIP FLASK","29.99","7.50"
"","GLASS TUBE PANGU KONE","15.00","7.50"
"          615693","HORNET FLAVOURED PAPERS","2.00","0.21"
"","ASHTRAY SS DBL LAYER","14.99","5.40"
"          134960","BODYWAND USB - AQUA MINI","157.99","54.64"
"20047","MOIST SILICONE LUBE 29ML","9.99","2.81"
"SE-1000-25","ET TRAVEL PUMP SYSTEM","114.99","40.00"
"16-11","DOUCHE 3PCE CLEAN","34.99","12.00"
"F06G039","MEGAHOOD 8'' DUO DENSITY","71.99","20.00"
"95412","51 MOST POPULAR DRINKING GAMES","49.99","17.95"
"PD8628-00","DOLL MIDGET MAN LIFE SIZE","54.99","24.00"
"         1013006","ASYLUM RESTRAINT KIT","24.99","8.00"
"","HEMP STAY ERECT CREAM 5OZ","14.99","4.18"
"DX-FUT-10","DUREX FRUITY FUN CONDOMS 10PK","24.99","10.50"
"PD2907-00","ICICLES NO.7 GLASS PLUG","51.99","18.00"
"F06D022A","GIRL STYLE 8' DONG","54.99","19.00"
"FMI017","SILICONE STROKER","29.99","10.00"
"           10588","MJ CS BB STRONG ALE POUCH","43.99","21.89"
"AWP90","SCALES POCKET MH-500G X 0.1G","39.99","10.00"
"           80185","SMOK V8 BABY M2 0.15/0.25 5PK","35.00","15.41"
"","SMOK V8 BABY M2 0.15/0.25 COIL","7.50","4.00"
"","SILICON TANK PROTECTOR W CAP","5.00","1.15"
"","GRINDER 3PC LEAF","15.00","6.00"
"ZIP121321","ZIPPO OUTDOOR FLEX NECK","59.99","27.52"
"MO030ICEMINT","MYOHM 30ML LIQUIDS","20.00","7.95"
"","CARDS GRASS HEMP GAME","94.99","30.42"
"         1600063","MONOCHROME PURPLE VIBE","29.99","10.00"
"PB-01-E","POCKET BOYFRIEND HARD VIBE","24.99","8.50"
"FPBF324A00","FEEL THE 6.5' G VIBE","57.99","20.00"
"95509","SO REAL 8' DONG","39.99","12.42"
"PD1417","NEON LIL' RABBIT","23.99","8.00"
"SE-1442-05","BEAD STROKER","15.99","5.50"
"RD226","CYBER SNATCH MASTURBATOR","46.99","16.00"
"SE-6886-03","COLT POWER STROKER MASTURBATER","54.99","19.00"
"Y0003B1MPGPT","ZERO GRAVITY PUMP","63.99","22.00"
"PD3442-00","NAUGHTY NURSE SET","29.99","10.00"
"2K-79","DRAGONZ TALE BEADED CHORD","17.99","6.00"
"2K-667","4 PLAY MINI COUPLES KIT","39.99","14.50"
"2K-212","5 PIECE CLEAR KIT","32.99","14.00"
"           93028","BODYWAND MIDNIGHT MASSAGER","159.99","56.55"
"           65973","WET STUFF PEPPERMINT TUBE 100G","19.99","5.96"
"          614189","MYSTIC LIGHTER CASE","7.00","1.19"
"","METAL USB LIGHTER","29.99","12.00"
"          651062","HACKY SACK","4.99","1.20"
"           10594","MJ CS BELGIAN SAISON","44.99","26.03"
"          651125","LEAF/MARILYN PICTURE","29.99","7.96"
"EC004","DRIP TIP CE4","1.00","0.65"
"","ELAX DISPOSABLE E-HOOKAH","12.50","2.95"
"    850739005100","RANDYS HEMP WICK SLEEVE","9.99","5.15"
"EC038","GLASS TUBE KANGER TOPTANK","9.50","2.50"
"","CHARGER USB HYDRO","9.99","7.50"
"SE-1408","CAL THE LASSO ADJUSTABLE","14.99","5.17"
"FVE070A000","BASIC 4.5' VIBE GREEN","17.99","6.00"
"SE-0999-15","PRECISION PUMP LUBE 266ML","34.99","12.00"
"           51210","SCALES MOUSE 300G X 0.01G","49.99","15.00"
"           25127","8 FOOT WHIP","24.99","0.00"
"LV426","PLEASURE PULSATOR COCKRING","17.99","6.00"
"PD3452","PASTIES AND G STRING","9.99","2.00"
"CN-11019","PERFECT BEN WA DUO BALLS","14.99","5.00"
"SE-1951","DOLL FIREMAN LOVE","99.99","45.00"
"PD3518","DOLL GLADIATOR LOVE","99.99","35.00"
"PD2196","FETISH MINI POSITION MASTER","71.99","25.00"
"PD8600-00","DOLL THE PERFECT DATE","79.99","29.00"
"           21601","GRINDER 4PC BULLDOG","20.00","3.48"
"STASH-06","TIN MEDIUM STASH","12.50","5.00"
"            4437","FLUID LIGHTER LEAF","20.00","5.25"
"","GRINDER 2PC DICE","20.00","5.95"
"","GRINDER 4PC IT ALWAYS 420","65.00","17.68"
